ID-Paquete,Tipo de Paquete,Valor Paquete,Origen,Destino,Numero de Intentos,Fecha de Entrega
SA1684AH,Retail,12,tienda-B,casa-B,1,"13-10-2020 04:56
"
SA1554KF,Retail,10,tienda-A,casa-A,1,"13-10-2020 04:56
"
SA5698PO,Retail,110,tienda-C,casa-C,2,"13-10-2020 04:56
"
SA5897AS,Retail,95,tienda-A,casa-D,1,"13-10-2020 04:56
"
SA1589GD,Retail,100,tienda-B,casa-Q,1,"13-10-2020 04:56
"
SA8859SS,Retail,15,tienda-C,casa-A,1,"13-10-2020 04:56
"
SA5713AS,Retail,20,tienda-B,casa-C,1,"13-10-2020 04:56
"
SA2589TR,Retail,5,tienda-C,casa-P,1,"13-10-2020 04:56
"
SA3574FG,Retail,120,tienda-B,casa-U,1,"13-10-2020 04:56
"
SA1597EF,Retail,20,tienda-A,casa-F,1,"13-10-2020 04:56
"
SA3698HJ,Retail,25,tienda-C,casa-A,1,"13-10-2020 04:56
"
SA2563AS,Retail,15,tienda-A,casa-N,1,"13-10-2020 04:56
"
SA5648AA,Retail,80,tienda-B,casa-A,1,"13-10-2020 04:56
"
SA1937JH,Retail,6,tienda-C,casa-N,1,"13-10-2020 04:57
"
SA6947GH,Retail,50,tienda-C,casa-C,2,"13-10-2020 04:57
"
SA5588HJ,Retail,25,tienda-C,casa-E,1,"13-10-2020 04:57
"
SA5974AA,Retail,105,tienda-C,casa-C,1,"13-10-2020 04:57
"
SA6644DS,Retail,30,tienda-A,casa-A,1,"13-10-2020 04:57
"
SA7748JK,Retail,115,tienda-B,casa-A,2,"13-10-2020 04:57
"
SA2596NH,Retail,90,tienda-A,casa-S,1,"13-10-2020 04:57
"
